-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.857,  0.445
-183.744, 80.059, 1.041,  0.478
-183.725, 80.021, 1.209,  0.511
-183.707, 79.977, 1.358,  0.544
-183.688, 79.929, 1.478,  0.577
-183.670, 79.879, 1.561,  0.610
-183.652, 79.827, 1.611,  0.643
-183.634, 79.775, 1.634,  0.676
-183.617, 79.723, 1.639,  0.709
-183.600, 79.671, 1.630,  0.742
-183.583, 79.620, 1.612,  0.775
-183.566, 79.570, 1.587,  0.808
-183.550, 79.520, 1.560,  0.841
-183.533, 79.472, 1.531,  0.874
-183.517, 79.424, 1.503,  0.907
-183.501, 79.377, 1.478,  0.940
-183.485, 79.331, 1.456,  0.973
-183.470, 79.286, 1.438,  1.006
-183.454, 79.241, 1.425,  1.039
-183.439, 79.196, 1.416,  1.072
-183.423, 79.151, 1.413,  1.105
-183.408, 79.106, 1.414,  1.138
-183.392, 79.061, 1.419,  1.171
-183.377, 79.016, 1.428,  1.204
-183.361, 78.970, 1.439,  1.237
-183.346, 78.924, 1.453,  1.270
-183.331, 78.877, 1.467,  1.303
-183.315, 78.830, 1.482,  1.336
-183.300, 78.783, 1.497,  1.369
-183.285, 78.734, 1.511,  1.402
-183.269, 78.686, 1.523,  1.435
-183.254, 78.637, 1.534,  1.468
-183.239, 78.588, 1.544,  1.501
-183.224, 78.538, 1.552,  1.534
-183.209, 78.489, 1.559,  1.567
-183.194, 78.439, 1.564,  1.600
-183.179, 78.388, 1.569,  1.633
-183.165, 78.338, 1.573,  1.666
-183.150, 78.288, 1.576,  1.699
-183.136, 78.237, 1.579,  1.732
